feature,baseline_macro_f1,importance_mean,importance_std,score_after_permutation_mean
char_svd_139,0.7272662318711288,0.0011472962731944535,0.0007923706289829739,0.7261189355979344
word_svd_51,0.7272662318711288,0.0011422901410233833,0.0002622771648109825,0.7261239417301054
lexicon_balance_ratio,0.7272662318711288,0.0011419061691112953,0.0009089875768588265,0.7261243257020176
char_svd_130,0.7272662318711288,0.0011284700663024116,0.00025071876126149317,0.7261377618048264
num_digits,0.7272662318711288,0.0011184844896262147,0.0003461781299778224,0.7261477473815026
word_svd_72,0.7272662318711288,0.0011123037420533999,0.000587739394654619,0.7261539281290754
word_svd_183,0.7272662318711288,0.0011074020764361813,0.0010384418411239693,0.7261588297946926
word_svd_97,0.7272662318711288,0.0010949531690166215,0.0008805315766019059,0.7261712787021122
char_svd_12,0.7272662318711288,0.0010822944442252069,0.0009417836606196574,0.7261839374269036
char_svd_0,0.7272662318711288,0.0010634194717718648,0.0007667544464938014,0.7262028123993569
word_svd_42,0.7272662318711288,0.0010542328429836267,0.0012687108199639398,0.7262119990281451
word_svd_179,0.7272662318711288,0.0010528813194350395,0.0005604619811448993,0.7262133505516938
word_svd_43,0.7272662318711288,0.0010518905691808468,0.0007206260361892398,0.726214341301948
char_svd_67,0.7272662318711288,0.0010314539628545117,0.0008171558651272005,0.7262347779082743
word_svd_134,0.7272662318711288,0.0010289391234805211,0.0009729531199766275,0.7262372927476483
word_svd_157,0.7272662318711288,0.0010249859133361738,0.0006752686654633784,0.7262412459577926
word_svd_120,0.7272662318711288,0.0010138057573511495,0.0006945443392444356,0.7262524261137777
word_svd_128,0.7272662318711288,0.0010121241457999642,0.000440794755196387,0.7262541077253288
has_mismatch,0.7272662318711288,0.0009933462435045115,0.0004699228084334895,0.7262728856276243
char_svd_98,0.7272662318711288,0.0009859625493190637,0.00036919655638984416,0.7262802693218098
class_0_top_match_ratio,0.7272662318711288,0.0009836600984382883,0.00046102951608019725,0.7262825717726905
word_svd_177,0.7272662318711288,0.0009664945361852473,0.0008222099440397008,0.7262997373349436
word_svd_85,0.7272662318711288,0.0009663002475276183,0.0008954234844103908,0.7262999316236012
char_svd_60,0.7272662318711288,0.000965213300323331,0.0006080412613299165,0.7263010185708055
word_svd_155,0.7272662318711288,0.0009461725858513903,0.0009534938085021582,0.7263200592852774
word_svd_5,0.7272662318711288,0.0009279037239901866,0.002008722192016745,0.7263383281471386
char_svd_29,0.7272662318711288,0.0009147407784684481,0.0005454290149088954,0.7263514910926604
word_svd_199,0.7272662318711288,0.0009139211706164386,0.00023348598760891706,0.7263523107005124
char_svd_28,0.7272662318711288,0.00091199951479215,0.0007546428243380691,0.7263542323563367
word_svd_142,0.7272662318711288,0.0009058780572979375,0.0006762420664520156,0.7263603538138309
word_svd_40,0.7272662318711288,0.0009035433565670603,0.000744421581794889,0.7263626885145618
word_svd_30,0.7272662318711288,0.0008985644214949629,0.0010256027908810046,0.7263676674496339
word_svd_105,0.7272662318711288,0.000886147280044014,0.0006711109346927587,0.7263800845910848
word_svd_69,0.7272662318711288,0.0008760062804886281,0.0009782859497965589,0.7263902255906401
word_svd_77,0.7272662318711288,0.000863260994992987,0.0005001597759639124,0.7264029708761358
word_svd_139,0.7272662318711288,0.0008499248719493702,0.00073572119919111,0.7264163069991795
word_svd_38,0.7272662318711288,0.0008456709875018786,0.0009501653739230938,0.7264205608836269
avg_word_len,0.7272662318711288,0.0008417802506315075,0.0007801062386504635,0.7264244516204973
char_svd_120,0.7272662318711288,0.0008377192908816777,0.0005359951491328222,0.7264285125802471
word_svd_24,0.7272662318711288,0.0008312048915961823,0.0006011056255100745,0.7264350269795327
word_svd_94,0.7272662318711288,0.0008150397345854321,0.0008944816702653847,0.7264511921365434
