feature,mean_abs_shap
word_svd_127,0.024775008489711266
uppercase_ratio,0.024155118713543356
char_svd_113,0.023965951392582008
word_svd_76,0.023275632306282854
char_svd_136,0.02327132731821175
word_svd_74,0.02298166413773079
word_svd_17,0.022738319818230542
word_svd_168,0.02256405223962794
char_svd_52,0.022367251284250822
class_1_top_match_ratio,0.022352499920721452
word_svd_97,0.021996626147499875
word_svd_72,0.021895149051000783
word_svd_24,0.02177358742248571
avg_sentence_len_words,0.020339613024563004
word_svd_12,0.02013680660513816
char_svd_55,0.020109864807884473
word_svd_82,0.02010669435435417
char_svd_16,0.01987311489877642
word_svd_184,0.019750494263815813
word_svd_159,0.019514542081873233
char_svd_102,0.019453285193098174
has_strong_positive_phrase,0.019353647895803096
num_brackets,0.01906767707245655
word_svd_119,0.018314752786972293
word_svd_107,0.01825697420719129
char_svd_138,0.018222451225200824
char_svd_13,0.01815530666473152
word_svd_49,0.01797651486441491
neg_words_per_word,0.017866427082675607
word_svd_121,0.017853641471286888
word_svd_182,0.01771326127715228
char_svd_31,0.017690727700970445
word_svd_54,0.01717522164155817
word_svd_41,0.017075145715594497
word_svd_158,0.01682664286862139
word_svd_186,0.01641708079126628
char_svd_147,0.01630767947888244
has_mismatch,0.0161066624397894
word_svd_62,0.015746606260239868
word_svd_27,0.015386306748641106
char_svd_41,0.014764592776568171
word_svd_166,0.014732945900208103
char_svd_84,0.014675475002133086
word_svd_61,0.014616441037814199
char_svd_145,0.014391322872658409
char_svd_11,0.014334872022431314
char_svd_115,0.014251943653513906
word_svd_195,0.014075502756676312
word_svd_131,0.013942604118861491
word_svd_179,0.013507337062969619
word_svd_105,0.013386172591744981
char_svd_68,0.013201971336417631
word_svd_9,0.01310836173574667
word_svd_164,0.013052869872562578
word_svd_33,0.012998445105218052
has_ellipsis,0.012993841076799401
word_svd_55,0.012308468426407038
word_svd_14,0.012264819873276635
word_svd_125,0.012237479407494815
char_svd_67,0.012215382270030686
char_svd_29,0.012065699737933372
char_svd_90,0.011842263368791638
char_svd_39,0.011751884403432727
word_svd_47,0.011644378752307585
char_svd_96,0.011595390469740901
char_svd_43,0.01158720309022277
word_svd_94,0.011458714612616926
word_svd_29,0.011216433249571068
char_svd_146,0.011183467250268522
word_svd_84,0.011116596963986376
avg_sentence_len_chars,0.011013405833991387
word_svd_155,0.010989404273641546
char_svd_140,0.010942375181035887
char_svd_130,0.01075574313726103
word_svd_96,0.01070567250126444
word_svd_18,0.010555712963215455
char_svd_57,0.010478112905356968
word_svd_176,0.010418609171688329
word_svd_139,0.010357787743267234
char_svd_64,0.010324375523506985
word_svd_0,0.010318838823573522
word_svd_115,0.009924269222013891
word_svd_126,0.009887031341126751
word_svd_50,0.009824791358827491
has_good_quality,0.009765971625533698
word_svd_145,0.009758152183193397
char_svd_108,0.00973811488516638
word_svd_178,0.009640972523274075
char_svd_9,0.009573665528762047
word_svd_177,0.009569288358524938
word_svd_70,0.009364601462814138
